Country,Continent,Fertility_Rate,GDP,Population
Portugal,Europe,1.38,2.38E+11,10269417
Qatar,Asia,1.87,1.83E+11,2832067
Romania,Europe,1.71,2.50E+11,19356544
Russia,Europe,1.57,1.70E+12,144373535
Rwanda,Africa,4.04,10122472590,12626950
Saint Kitts and Nevis,North America,2.11,1050992593,52823
Saint Lucia,North America,1.44,2122450630,182790
Saint Vincent and the Grenadines,North America,1.89,825385185,100455
Samoa,Oceania,3.88,850655017,202506
San Marino,Europe,1.26,1637931034,33860
Sao Tome and Principe,Africa,4.32,429016605,215056
Saudi Arabia,Asia,2.32,7.93E+11,34268528
Senegal,Africa,4.63,23578084052,16296364
Serbia,Europe,1.49,51409167351,6944975
Seychelles,Africa,2.41,1698843063,97625
Sierra Leone,Africa,4.26,3941474311,7813215
Singapore,Asia,1.14,3.72E+11,5703569
Slovakia,Europe,1.52,1.05E+11,5454073
Slovenia,Europe,1.6,53742159517,2087946
Solomon Islands,Oceania,4.4,1425074226,669823
Somalia,Africa,6.07,4720727278,15442905
South Africa,Africa,2.41,3.51E+11,58558270
South Korea,Asia,0.98,2.03E+12,51709098
S. Sudan,Africa,4.7,11997800751,11062113
Spain,Europe,1.26,1.39E+12,47076781
Sri Lanka,Asia,2.2,84008783756,21803000
Sudan,Africa,4.41,18902284476,42813238
Suriname,South America,2.42,3985250737,581372
Sweden,Europe,1.76,5.31E+11,10285453
Switzerland,Europe,1.52,7.03E+11,8574832
Syria,Asia,2.81,40405006007,17070135
Tajikistan,Asia,3.59,8116626794,9321018
Tanzania,Africa,4.89,63177068175,58005463
Thailand,Asia,1.53,5.44E+11,69625582
East Timor,Asia,4.02,1673540300,3500000
Togo,Africa,4.32,5459979417,8082366
Tonga,Oceania,3.56,450353314,100209
Trinidad and Tobago,North America,1.73,24100202834,1394973
Tunisia,Africa,2.2,38797709924,11694719
Turkey,Asia,2.07,7.54E+11,83429615
Turkmenistan,Asia,2.79,40761142857,5942089
Tuvalu,Oceania,,47271463,11646
Uganda,Africa,4.96,34387229486,44269594
Ukraine,Europe,1.3,1.54E+11,44385155
United Arab Emirates,Asia,1.41,4.21E+11,9770529
United Kingdom,Europe,1.68,2.83E+12,66834405
United States of America,North America,1.73,2.14E+13,328239523
Uruguay,South America,1.97,56045912952,3461734
Uzbekistan,Asia,2.42,57921286440,33580650
Vanuatu,Oceania,3.78,917058851,299882
Venezuela,South America,2.27,4.82E+11,28515829
Vietnam,Asia,2.05,2.62E+11,96462106
Yemen,Asia,3.79,26914402224,29161922
Zambia,Africa,4.63,23064722446,17861030
Zimbabwe,Africa,3.62,21440758800,14645468
